,dteday,WeatherCondition,temp,hum,windspeed,casual,registered,Total Users,rainy_day
0,2011-01-01,2,0.344167,0.805833,0.160446,331,654,985,Yes
1,2011-01-02,2,0.363478,0.696087,0.248539,131,670,801,No
2,2011-01-03,1,0.196364,0.437273,0.248309,120,1229,1349,No
3,2011-01-04,1,0.2,0.590435,0.160296,108,1454,1562,No
4,2011-01-05,1,0.226957,0.436957,0.1869,82,1518,1600,No
5,2011-01-06,1,0.204348,0.518261,0.0895652,88,1518,1606,No
6,2011-01-07,2,0.196522,0.498696,0.168726,148,1362,1510,No
7,2011-01-08,2,0.165,0.535833,0.266804,68,891,959,No
8,2011-01-09,1,0.138333,0.434167,0.36195,54,768,822,No
9,2011-01-10,1,0.150833,0.482917,0.223267,41,1280,1321,No
10,2011-01-11,2,0.169091,0.686364,0.122132,43,1220,1263,No
11,2011-01-12,1,0.172727,0.599545,0.304627,25,1137,1162,No
12,2011-01-13,1,0.165,0.470417,0.301,38,1368,1406,No
13,2011-01-14,1,0.16087,0.537826,0.126548,54,1367,1421,No
14,2011-01-15,2,0.233333,0.49875,0.157963,222,1026,1248,No
15,2011-01-16,1,0.231667,0.48375,0.188433,251,953,1204,No
16,2011-01-17,2,0.175833,0.5375,0.194017,117,883,1000,No
17,2011-01-18,2,0.216667,0.861667,0.146775,9,674,683,Yes
18,2011-01-19,2,0.292174,0.741739,0.208317,78,1572,1650,Yes
19,2011-01-20,2,0.261667,0.538333,0.195904,83,1844,1927,No
20,2011-01-21,1,0.1775,0.457083,0.353242,75,1468,1543,No
21,2011-01-22,1,0.0591304,0.4,0.17197,93,888,981,No
22,2011-01-23,1,0.0965217,0.436522,0.2466,150,836,986,No
23,2011-01-24,1,0.0973913,0.491739,0.15833,86,1330,1416,No
24,2011-01-25,2,0.223478,0.616957,0.129796,186,1799,1985,No
25,2011-01-26,3,0.2175,0.8625,0.29385,34,472,506,Yes
26,2011-01-27,1,0.195,0.6875,0.113837,15,416,431,No
